mean_profile,std_profile,kurt_profile,skew_profile,mean_dmsnr,std_dmsnr,kurt_dmsnr,skew_dmsnr,class
111.09375,47.34108903,0.435468922,0.4713390220000001,2.386287625,15.86717271,9.327098427000001,103.545876,0
105.0,49.20334084,0.563215008,0.38214989,1.601170569,14.65776697,11.38182887,148.3343497,0
115.3046875,43.65320696,0.448319263,0.614358901,3.1580267560000004,21.37875381,8.347430468999999,76.31027074,0
108.5546875,52.55901573,0.13806811,-0.442340081,1.7876254180000002,12.10855501,11.26245898,180.0742523,0
136.4296875,49.55216374,-0.180418392,0.370337573,9.066053512,37.28474207,4.2700135,17.70044065,0
128.5703125,50.16000704,0.05819089700000001,-0.471664776,1.491638796,10.43778015,14.55837738,303.4759152,0
106.1015625,48.35349002,0.074566042,0.13623004,0.903010033,11.52330593,15.99599601,289.9399582,0
118.1875,53.36061721,-0.020473914,-0.386134078,11.18311037,38.65663203,3.568677592,11.83017187,0
130.5390625,47.61743745,0.055074599,-0.043196462000000005,1.435618729,13.53355926,12.58708207,181.1522312,0
95.34375,35.14555393,0.440785613,2.280172353,0.91722408,11.66100056,15.16039901,261.2878424,0
116.578125,46.10392631,0.234889667,0.02840274,2.786789298,18.67421432,8.323148446,77.09132999,0
131.234375,52.3335881,0.299241365,-0.260850302,2.470735786,16.07694645,8.994280338,97.99705174,0
126.1484375,51.74835291,-0.105236956,-0.477203193,3.12541806,23.00376564,8.136346012999999,69.11075646,0
100.609375,40.74333427,0.473483756,0.7672757179999999,1.3486622069999998,13.96823941,12.84103941,191.0290325,0
114.53125,42.14556944,0.096846121,0.8664580620000001,2.536789298,17.40467063,9.112338964,97.00660404,0
114.6484375,42.09245587,0.186054337,0.8928237929999999,6.947324415,30.49981744,4.7271085710000005,23.03409483,0
89.5234375,35.54002252,0.7471531809999999,2.845150884,2.255852843,13.952430800000002,9.398621334,118.9992129,0
104.828125,51.93853179,0.402108783,-0.105684584,2.444816054,17.60509195,8.567573097,82.16920197,0
115.4296875,45.636417,0.199078432,0.030358499,25.63879599,64.84682208,2.283595127,3.568493802,0
94.078125,52.54813409,0.554718746,0.027300536,9.323578595,44.2656334,4.557664102,18.87884969,0
137.0546875,43.16815026,-0.187225266,0.202524182,9.347826087,38.34994761,4.308091599,18.08297218,0
138.609375,45.91759507,-0.10496487,0.306144925,1.946488294,14.81690301,10.12408088,124.140405,0
118.7578125,46.03645738,0.215271455,0.029416775,2.287625418,12.91323816,9.985311486,145.0212062,0
117.65625,50.20760611,0.27467157,0.072919811,1.283444816,10.42206754,14.98920607,310.0087498000001,0
121.6328125,47.00562983,0.373569136,0.109765059,2.20735786,16.64880642,9.955710227,115.1743435,0
118.3515625,47.96932448,0.175094311,0.149083725,1.185618729,14.21634066,13.68880829,200.1690313,0
124.1875,71.75879193,0.012377222,-1.480987399,61.35869565,73.23212464,0.978707461,-0.10627009,0
129.359375,50.99505711,-0.082759748,-0.115959149,3.174749164,17.87073797,7.555691702000001,68.39432298,0
126.171875,47.41738035,0.108234477,0.373438319,2.570234114,15.27230811,8.530018418,93.24530274,0
127.7265625,58.15116546,-0.027425887000000003,-0.555031642,34.7416388,55.23377776,1.249668352,0.230255505,0
127.8984375,49.87701121,0.131541431,0.134090472,1.031772575,11.24457478,15.51815754,284.90662569999995,0
99.125,50.46579906,0.6230989,0.669232513,1.64548495,16.38366523,11.88734253,153.1602005,0
134.28125,52.02777766,0.250711533,-0.526465219,26.39715719,56.64948519,2.010268791,2.826716934,0
123.609375,51.89235167,0.288273695,-0.199180927,29.03929766,67.63356137,1.915681139,1.71884507,0
113.3671875,56.38689884,0.530648354,-0.249349962,3.700668896,19.4241695,6.309515276,47.51712232,0
128.6015625,46.18480876,0.31680763100000003,0.6862392009999999,75.36538462,85.51243982,0.269381964,-1.891167259,0
111.1015625,51.90328142,0.263218807,-0.020184763,1.821070234,13.86411928,10.350356800000002,133.4890801,0
119.6328125,39.80123881,0.199955578,0.958777105,2.836956522,18.12625746,8.578909184,87.23688932,0
114.375,44.19523447,0.315457401,0.359005133,1.892140468,17.60888453,10.3313265,113.5561402,0
100.7109375,39.58735443,0.72709441,1.905771248,3.035953177,21.91404335,7.741671347,62.44954331,0
106.4140625,41.6676822,0.25332753,0.720641792,2.419732441,16.37502826,9.557450181,108.4581784,0
84.8984375,37.39774388,0.5156473770000001,2.448671719,3.62458194,20.32434405,6.517490792,47.84192209,0
111.6015625,52.43721541,0.391654905,-0.025640354,1.607859532,10.8093499,13.74983189,269.10276830000004,0
137.640625,48.98991197,0.009318116,-0.008179882,4.815217391,26.59331024,6.438611944,44.04976076,0
106.6484375,56.14136591,0.393052433,-0.470738576,3.775919732,23.72878293,7.0488740189999985,53.01416346,0
120.9296875,46.06961166,0.068669359,0.636760459,6.857023411,32.78120626,5.237081306,27.80679143,0
134.6875,49.48606969,-0.132696875,-0.044449623,5.35367893,26.7807179,6.236738687999999,41.64991708,0
111.8828125,53.97491042,0.461377043,-0.07361608,9.621237458,39.14264519,4.290020454,17.7410535,0
175.5234375,52.56438981,-1.444554581,1.948663462,169.7316054,81.28118566,-0.865513605,-0.657967822,0
109.1328125,38.94274064,0.5929307629999999,1.053286398,1.866220736,13.57927902,10.68159767,143.2141815,0
108.9453125,42.97315815,0.20673623,0.19098729600000006,1.504180602,13.82230092,11.88448975,165.1829732,0
